hour,id,score,comments,best_rank
0,45086020,679,136,
0,45090553,169,55,
0,45099681,79,20,
0,45106011,581,676,
0,45106132,79,122,
0,45110311,612,119,
0,45112720,279,177,
0,45113531,78,20,
0,45118286,245,238,
0,45119310,99,28,
0,45123003,251,112,
0,45123034,183,92,
0,45123328,68,40,
0,45124003,1091,375,
0,45124143,291,162,
0,45124560,121,45,
0,45128391,601,458,
0,45129085,805,1067,
0,45130260,640,46,
0,45130433,67,81,
0,45131091,49,20,
0,45132488,205,82,
0,45134144,59,13,
0,45134404,36,4,
0,45135061,118,127,
0,45135263,167,73,
0,45135591,107,111,
0,45135623,148,151,
0,45136103,471,670,
0,45136728,140,110,
0,45137584,51,2,
0,45138695,181,73,
0,45139088,544,133,
0,45139656,244,306,
0,45140281,64,34,
0,45140572,266,40,
0,45140786,157,298,
0,45140921,179,23,
0,45141809,74,21,
0,45141907,238,89,
0,45142704,139,55,
0,45142845,35,0,
0,45142885,983,738,
0,45143019,29,5,
0,45143927,83,28,
0,45144123,166,412,
0,45144129,90,27,
0,45144470,57,51,
0,45144758,161,156,
0,45144900,517,647,
0,45145176,72,33,
0,45147385,277,226,
0,45148237,347,161,
0,45148944,427,217,
0,45149281,599,220,
0,45151598,117,63,
0,45151641,353,501,
0,45152066,405,176,
0,45152252,55,57,
0,45152284,360,255,
0,45152402,203,79,
0,45152779,369,60,
0,45153380,18,1,
0,45154088,99,60,
0,45154142,177,45,
0,45154609,1017,316,
0,45154857,142,41,
0,45155682,223,58,
0,45155731,58,50,
0,45155846,67,11,
0,45155877,105,85,
0,45155916,38,7,
0,45155937,16,0,
0,45155963,70,16,
0,45155986,342,358,
0,45156414,252,212,
0,45156671,45,38,
0,45156826,262,97,
0,45157094,33,24,
0,45157161,38,28,
0,45157278,67,18,
0,45157425,102,92,
0,45157505,96,66,
0,45158118,161,22,
0,45158814,112,39,
0,45158968,1014,487,
0,45160774,250,54,
0,45161410,155,27,
0,45161816,221,158,
0,45162078,63,23,
0,45162368,56,9,
0,45162559,81,16,
0,45162626,206,267,
0,45162803,245,121,
0,45163043,350,476,
0,45163362,916,319,
0,45163417,66,13,
0,45163423,133,78,
0,45163998,76,24,
0,45164762,73,29,
0,45164892,107,41,
0,45165070,202,81,
0,45165186,146,263,
0,45165415,61,30,
0,45165464,26,3,
0,45165529,57,14,
0,45165608,60,4,
0,45165684,559,205,
0,45165721,215,60,
0,45165749,40,5,
0,45165751,30,13,
0,45165753,66,44,
0,45165885,60,63,
0,45166238,106,56,
0,45166245,132,26,
0,45166655,77,13,
0,45166698,34,12,
0,45166750,310,181,
0,45167049,67,41,
0,45167260,43,2,
0,45167295,156,47,
0,45167303,75,60,
0,45167346,33,21,
0,45167352,14,0,
0,45167394,115,215,
0,45167401,259,42,
0,45167436,129,7,
0,45167459,114,69,
0,45167534,161,116,
0,45167601,35,70,
0,45167625,182,295,
0,45167680,122,61,
0,45167688,73,25,
0,45167694,21,3,
0,45167739,77,48,
0,45167757,44,4,
0,45167846,110,78,
0,45168823,257,148,
0,45168854,216,425,
0,45168953,386,259,
0,45169194,80,67,
0,45169275,268,248,
0,45169286,98,66,
0,45169477,22,6,
0,45169624,276,121,
0,45169657,1352,752,
0,45169892,154,77,
0,45170000,227,101,
0,45170087,271,183,
0,45170274,26,3,
0,45170515,979,440,
0,45171200,683,393,
0,45171733,263,63,
0,45172058,253,88,
0,45172330,15,6,
0,45172376,72,3,
0,45172609,208,427,
0,45172905,131,23,
0,45173100,96,1,
0,45174037,183,346,
0,45174125,191,129,
