hour,id,score,comments,best_rank
0,43279131,78,6,
0,43280517,232,124,
0,43280836,61,52,
0,43280985,75,26,
0,43281275,48,2,
0,43282133,510,232,
0,43282668,180,136,
0,43282905,1745,417,
0,43282995,582,105,
0,43284227,130,25,
0,43284293,50,13,
0,43284541,46,3,
0,43285725,285,288,
0,43286161,469,90,
0,43287327,314,267,
0,43287821,369,110,
0,43288410,113,67,
0,43288691,61,27,
0,43288861,174,23,
0,43289140,51,138,
0,43289293,112,123,
0,43289550,177,111,
0,43289774,137,42,
0,43289990,173,78,
0,43289994,189,277,
0,43290555,176,49,
0,43290620,137,6,
0,43290919,44,2,
0,43291258,77,81,
0,43292050,184,54,
0,43292056,428,249,
0,43292471,262,340,
0,43292820,655,444,
0,43292946,428,443,
0,43293192,190,55,
0,43294566,261,87,
0,43294751,83,17,
0,43294974,120,22,
0,43295692,596,215,
0,43296184,269,121,
0,43297590,208,117,
0,43297636,18,4,
0,43298663,91,83,
0,43299772,68,76,
0,43299815,276,324,
0,43299886,498,682,
0,43300204,66,37,
0,43300414,260,208,
0,43300528,202,61,
0,43301068,28,14,
0,43301095,39,46,
0,43301432,237,147,
0,43301649,86,8,
0,43302132,823,310,
0,43302394,134,45,
0,43302436,30,3,
0,43302495,137,67,
0,43303752,303,45,
0,43303765,23,0,
0,43304088,124,289,
0,43304205,99,32,
0,43304962,161,25,
0,43305803,810,430,
0,43305842,73,31,
0,43305856,22,6,
0,43305881,76,10,
0,43305920,130,44,
0,43305973,150,22,
0,43306435,192,116,
0,43306514,92,66,
0,43306599,190,131,
0,43306734,224,48,
0,43306776,47,6,
0,43306916,38,2,
0,43307159,319,91,
0,43307563,343,221,
0,43307751,161,190,
0,43307755,404,752,
0,43307809,456,488,
0,43307833,50,22,
0,43307861,46,24,
0,43307987,240,69,
0,43308111,49,90,
0,43308259,100,20,
0,43308278,346,102,
0,43308296,52,62,
0,43308477,74,18,
0,43308636,44,2,
0,43308907,189,84,
0,43308994,833,131,
0,43309109,95,82,
0,43309696,63,9,
0,43310221,50,4,
0,43311082,87,15,
0,43311573,539,175,
0,43311696,190,174,
0,43312034,144,139,
0,43312527,127,6,
0,43312652,303,164,
0,43313574,67,104,
0,43314167,21,0,
0,43314603,19,1,
0,43314657,468,217,
0,43314851,78,5,
0,43315029,162,65,
0,43315406,298,114,
0,43315544,63,91,
0,43315634,370,116,
0,43316167,61,9,
0,43316466,35,3,
0,43316979,203,215,
0,43317213,13,2,
0,43317592,598,173,
0,43317887,345,215,
0,43317889,49,2,
0,43318624,349,97,
0,43319617,7,4,
0,43320024,202,114,
0,43320190,44,0,
0,43320230,532,133,
0,43320505,14,2,
0,43321109,226,84,
0,43321131,126,60,
0,43321523,155,28,
0,43321688,141,30,
0,43322007,39,3,
0,43322030,21,4,
0,43322245,499,182,
0,43322477,23,0,
0,43322570,99,136,
0,43322922,1914,977,
0,43323491,8,2,
0,43323755,201,163,
0,43323860,106,86,
0,43323946,419,43,
0,43324350,26,5,
0,43325049,342,287,
0,43325628,283,255,
0,43326080,73,77,
0,43326151,24,0,
0,43326275,316,508,
0,43326434,24,2,
0,43326982,78,63,
0,43327393,36,13,
0,43327506,51,39,
0,43327730,238,57,
0,43327758,142,46,
0,43328095,721,349,
0,43328380,17,0,
0,43329373,232,233,
0,43329761,74,11,
0,43330130,15,28,
0,43330143,113,27,
0,43330164,185,30,
0,43330206,162,161,
0,43330406,15,2,
0,43330657,25,6,
0,43330782,47,20,
0,43330796,124,66,
0,43330900,405,368,
0,43330954,30,22,
