hour,id,score,comments,best_rank
0,49543082,13,4,468
0,49543191,129,77,387
0,49543220,314,248,406
0,49543347,27,2,411
0,49543530,118,82,277
0,49544618,221,142,375
0,49544762,467,187,302
0,49545430,50,26,390
0,49546198,88,39,186
0,49546284,144,77,327
0,49546753,403,137,367
0,49546800,166,64,303
0,49547415,63,32,485
0,49547888,61,61,413
0,49548196,140,178,233
0,49548395,1163,264,362
0,49548452,336,220,373
0,49548596,38,4,457
0,49548600,198,198,276
0,49548852,103,17,419
0,49548952,329,107,349
0,49549148,78,26,371
0,49549327,50,13,78
0,49549778,107,20,246
0,49549877,108,39,328
0,49549919,262,209,478
0,49550174,286,292,471
0,49550276,115,95,105
0,49550375,377,133,347
0,49550436,93,28,155
0,49550479,29,6,244
0,49550698,660,310,335
0,49550772,2223,546,177
0,49551096,404,705,340
0,49551760,335,131,370
0,49552299,402,106,94
0,49552572,377,124,304
0,49552615,69,5,310
0,49553303,22,9,454
0,49553321,151,128,470
0,49553988,89,8,135
0,49554102,13,2,358
0,49554372,182,73,440
0,49554520,690,228,258
0,49554622,168,138,195
0,49554643,2270,2075,162
0,49554848,6,0,439
0,49555114,89,73,98
0,49555233,233,279,287
0,49555592,237,116,52
0,49555691,239,167,442
0,49556546,27,10,463
0,49557206,297,151,397
0,49557563,20,1,473
0,49557986,51,5,126
0,49558086,145,84,386
0,49558685,257,88,80
0,49559069,104,24,93
0,49559451,77,59,301
0,49559522,126,43,338
0,49559901,40,4,408
0,49560260,97,68,469
0,49560682,121,42,69
0,49561002,143,9,82
0,49561320,561,251,460
0,49561514,68,8,185
0,49561975,88,86,481
0,49562219,220,45,239
0,49562430,34,2,19
0,49562440,85,20,111
0,49562594,8,3,416
0,49562648,31,14,428
0,49562657,437,99,322
0,49563355,2292,1595,142
0,49563386,403,76,361
0,49563772,126,71,317
0,49563784,203,256,396
0,49563839,69,67,384
0,49563851,336,330,323
0,49564064,47,14,113
0,49564555,200,102,417
0,49564609,102,49,99
0,49564714,160,81,459
0,49564839,41,18,122
0,49565547,29,1,422
0,49566137,332,310,364
0,49566193,163,61,265
0,49566788,79,35,332
0,49567053,438,246,330
0,49567310,163,318,299
0,49567357,76,27,498
0,49567437,419,132,324
0,49567873,178,55,263
0,49568162,109,30,86
0,49568506,770,509,224
0,49568579,483,262,267
0,49568697,146,33,372
0,49568828,116,35,296
0,49569146,20,1,482
0,49569366,421,240,288
0,49569584,32,14,208
0,49569663,135,39,295
0,49569702,62,35,354
0,49569748,81,36,118
0,49569838,259,91,102
0,49569896,503,245,262
0,49569932,15,1,492
0,49569983,52,18,261
0,49570063,25,2,424
0,49570189,19,1,166
0,49570206,28,0,405
0,49570328,59,1,341
0,49570411,71,14,64
0,49570545,320,234,240
0,49570597,55,8,348
0,49570669,803,509,214
0,49570772,586,555,401
0,49570792,23,0,427
0,49571047,140,38,275
0,49571096,275,79,70
0,49571131,43,4,393
0,49571255,10,3,488
0,49571263,52,2,392
0,49571465,277,176,292
0,49571537,36,18,430
0,49571566,27,9,452
0,49571632,158,65,300
0,49571634,731,402,211
0,49572610,55,7,495
0,49572875,74,75,479
0,49573036,16,16,480
0,49573677,66,29,316
0,49573680,372,169,272
0,49574167,415,344,281
0,49574941,58,12,46
0,49575034,380,269,438
0,49575122,26,7,383
0,49575150,149,64,222
0,49575176,82,18,493
0,49575515,236,58,120
0,49575766,54,9,15
0,49575859,107,14,273
0,49575887,14,3,483
0,49575914,78,37,18
0,49576187,29,9,499
0,49576258,184,173,325
0,49576343,213,52,285
0,49576386,377,113,252
0,49576611,119,46,445
0,49576986,328,104,447
0,49577129,295,160,171
0,49577422,37,16,184
0,49577943,15,3,472
0,49577975,299,174,388
0,49578227,13,0,455
0,49578280,317,139,254
0,49578866,520,243,458
0,49579065,48,0,496
0,49579443,406,307,23
0,49579956,49,4,289
0,49580164,394,255,298
0,49580260,27,11,274
0,49580325,107,18,415
0,49580329,74,51,409
0,49580369,743,433,321
0,49580389,30,16,313
0,49580771,25,1,380
0,49580778,179,167,466
0,49580939,603,297,178
0,49581240,79,32,353
0,49581810,13,1,425
0,49581870,613,117,213
0,49582000,646,317,200
0,49582582,240,189,334
0,49582656,157,76,188
0,49582719,128,29,189
0,49583381,66,47,152
0,49583440,106,66,279
0,49583684,23,11,95
0,49583779,4,0,494
0,49584053,20,5,153
0,49584083,616,203,140
0,49584085,6,0,462
0,49584361,5,1,435
0,49584637,234,175,351
0,49584724,13,0,356
0,49585161,151,194,423
0,49585520,103,55,385
0,49585605,46,18,421
0,49585627,424,333,231
0,49585644,725,433,130
0,49585703,68,22,248
0,49586005,116,69,176
0,49586011,15,3,487
0,49586139,59,9,157
0,49586151,67,23,259
0,49586171,1343,292,443
0,49586189,6,1,476
0,49586207,215,48,117
0,49586386,11,12,420
0,49586435,64,13,306
0,49586494,5,1,474
0,49586667,59,14,45
0,49586698,562,356,232
0,49586898,634,550,165
0,49586902,79,33,290
0,49587040,73,72,399
0,49587115,16,3,145
0,49587121,12,0,333
0,49587217,209,193,237
0,49587636,150,16,143
0,49587833,17,1,360
0,49587903,101,28,190
0,49588006,13,0,407
0,49588080,485,462,148
0,49588265,4,5,467
0,49588372,6,2,431
0,49588466,1,0,89
0,49588635,13,1,484
0,49588988,914,407,215
0,49589190,109,17,104
0,49589434,10,5,426
0,49589722,134,199,221
0,49589730,24,6,451
0,49589768,61,23,212
0,49589914,307,280,193
0,49590199,72,13,134
0,49590225,111,124,446
0,49590354,38,12,456
0,49590408,14,4,490
0,49590512,406,258,197
0,49590595,120,43,138
0,49590611,358,200,172
0,49590656,22,19,337
0,49590738,100,34,182
0,49590946,36,46,441
0,49591112,21,6,9
0,49591340,21,3,477
0,49591536,17,5,329
0,49591555,5,0,412
0,49591563,136,11,27
0,49591620,93,48,369
0,49591672,125,85,294
0,49591747,38,15,202
0,49591793,134,140,129
0,49591876,321,111,180
0,49592035,12,14,491
0,49592044,7,0,404
0,49592366,36,5,402
0,49592375,874,981,77
0,49592508,18,1,449
0,49592799,13,3,280
0,49592840,106,59,150
0,49593045,8,1,391
0,49593050,19,14,433
0,49593066,52,3,216
0,49593311,12,0,305
0,49593319,40,2,345
0,49593563,1027,271,68
0,49593762,23,3,315
0,49593776,41,5,368
0,49593778,28,12,382
0,49593842,66,16,125
0,49593962,11,1,465
0,49593971,179,111,218
0,49594008,90,53,187
0,49594169,15,5,486
0,49594251,363,281,207
0,49594296,33,6,376
0,49594657,10,3,500
0,49594756,3,0,414
0,49595286,10,6,464
0,49595360,189,194,241
0,49595505,5,0,339
0,49595624,14,2,489
0,49595865,195,79,97
0,49596033,9,0,395
0,49596054,143,52,107
0,49596055,266,95,123
0,49596119,315,290,160
0,49596163,6,0,366
0,49596221,46,1,365
0,49596274,83,26,132
0,49596557,16,6,437
0,49596610,93,151,109
0,49596629,211,211,192
0,49596797,101,45,228
0,49596976,112,59,206
0,49597189,304,200,136
0,49597379,10,3,475
0,49597551,13,2,282
0,49597577,8,0,346
0,49597806,6,1,381
0,49597895,226,131,203
0,49597907,504,207,151
0,49597922,8,1,278
0,49598009,6,5,20
0,49598291,422,122,103
0,49598892,21,9,363
0,49598921,16,4,17
0,49599058,98,81,378
0,49599481,419,284,154
0,49599609,96,99,284
0,49599719,107,73,342
0,49599767,20,3,410
0,49599825,25,4,24
0,49600233,127,145,394
0,49600269,31,11,163
0,49600432,74,22,400
0,49600473,12,1,253
0,49600556,9,0,432
0,49600627,3,0,357
0,49600901,146,43,21
0,49601222,5,0,268
0,49601252,6,0,444
0,49601328,38,23,198
0,49601655,332,180,85
0,49601810,77,12,318
0,49601814,67,65,269
0,49601846,135,126,448
0,49602258,35,6,336
0,49602490,180,51,67
0,49602699,262,149,84
0,49602716,59,22,127
0,49603086,74,86,429
0,49603092,62,58,436
0,49603185,20,1,307
0,49603265,3,0,319
0,49603546,166,50,119
0,49603609,7,2,266
0,49603968,30,9,377
0,49604026,15,1,191
0,49604150,301,23,81
0,49604165,8,1,255
0,49604232,13,3,355
0,49604312,18,9,270
0,49604454,17,4,196
0,49604498,4,0,461
0,49604637,481,121,58
0,49604837,14,7,139
0,49604861,586,322,66
0,49604870,519,218,49
0,49604956,18,14,234
0,49605036,4,0,450
0,49605046,16,12,453
0,49605072,7,0,344
0,49605122,17,13,201
0,49605182,32,0,108
0,49605246,174,64,48
0,49605329,3,1,264
0,49605356,42,13,403
0,49605424,106,128,204
0,49605433,117,68,106
0,49605488,6,0,374
0,49605503,8,2,352
0,49605511,81,62,59
0,49605514,4,0,257
0,49605517,4,0,256
0,49605574,16,9,326
0,49605578,4,0,434
0,49605611,54,9,168
0,49605644,70,26,75
0,49605654,4,0,251
0,49605655,3,1,250
0,49605691,296,336,158
0,49605714,5,0,245
0,49605762,4,0,209
0,49605767,804,563,42
0,49605770,19,18,247
0,49605782,179,151,101
0,49605786,5,1,205
0,49605822,113,75,76
0,49605874,31,3,217
0,49605915,1211,531,5
0,49606010,31,0,389
0,49606037,11,0,308
0,49606122,11,2,418
0,49606781,14,1,223
0,49607196,35,8,169
0,49607443,373,340,87
0,49607991,223,79,40
0,49608023,211,176,34
0,49608332,6,0,497
0,49608665,4,1,174
0,49608697,118,139,149
0,49608802,9,0,114
0,49608833,23,7,314
0,49608850,5,0,309
0,49608875,26,14,236
0,49609060,4,1,350
0,49609174,117,23,33
0,49609227,14,2,210
0,49609250,12,6,72
0,49609305,7,0,291
0,49609322,5,1,343
0,49609582,4,0,283
0,49609784,17,10,100
0,49610059,204,78,22
0,49610181,345,154,8
0,49610229,365,62,131
0,49610358,6,1,311
0,49610410,9,8,260
0,49610448,3,2,243
0,49610528,30,6,116
0,49610538,646,217,79
0,49610631,305,241,12
0,49610641,78,11,31
0,49610900,327,112,37
0,49610908,11,2,229
0,49610926,38,16,110
0,49610988,313,190,44
0,49610993,8,3,225
0,49611001,5,0,293
0,49611024,15,5,199
0,49611051,216,149,25
0,49611128,207,104,10
0,49611132,47,64,249
0,49611165,8,0,220
0,49611185,3,0,286
0,49611230,92,28,32
0,49611240,13,2,219
0,49611242,10,0,359
0,49611251,483,115,3
0,49611329,20,2,63
0,49611362,20,3,194
0,49611448,8,2,331
0,49611549,58,6,41
0,49611641,44,19,39
0,49611832,19,2,164
0,49611946,100,80,96
0,49612016,3,0,271
0,49612081,4,0,124
0,49612191,69,41,28
0,49612327,33,40,226
0,49612329,479,278,61
0,49612463,61,22,73
0,49612470,12,2,144
0,49612526,17,2,167
0,49612586,18,2,141
0,49612635,75,65,50
0,49612772,21,13,55
0,49612818,76,26,30
0,49612830,11,5,147
0,49612981,48,11,159
0,49613033,31,7,91
0,49613068,117,19,16
0,49613086,43,65,146
0,49613104,14,3,156
0,49613107,4,1,398
0,49613152,4,0,83
0,49613182,57,59,115
0,49613200,17,1,57
0,49613247,13,1,170
0,49613262,1085,944,6
0,49613312,19,3,43
0,49613402,3,0,238
0,49613527,35,2,71
0,49613598,32,22,92
0,49613642,3,1,235
0,49613768,4,0,230
0,49613846,12,1,133
0,49614034,7,2,379
0,49614049,7,2,181
0,49614101,21,0,38
0,49614250,4,0,74
0,49614284,11,1,137
0,49614557,115,101,65
0,49614720,268,358,47
0,49614817,17,9,128
0,49614911,6,1,161
0,49614983,50,14,56
0,49614991,6,0,312
0,49615139,35,19,35
0,49615500,5,0,183
0,49615537,267,257,1
0,49615639,14,0,179
0,49615732,4,1,175
0,49615804,6,0,173
0,49615888,35,6,60
0,49616238,17,4,88
0,49616239,166,86,62
0,49616257,202,103,11
0,49616272,41,2,13
0,49616354,118,15,14
0,49616615,8,0,112
0,49616696,59,50,320
0,49616968,108,78,26
0,49617162,3,0,297
0,49617255,116,25,4
0,49617288,10,0,242
0,49617319,12,2,90
0,49617581,78,43,2
0,49617631,3,0,121
0,49617963,8,3,227
0,49618050,40,4,7
0,49618175,27,0,36
0,49618447,11,3,51
0,49618622,9,8,54
0,49618642,6,0,53
0,49619227,13,0,29
1,49543082,13,4,471
