hour,id,score,comments,best_rank
1,49610596,108,9,150
1,49610631,538,372,306
1,49610641,91,13,322
1,49610780,114,34,165
1,49610834,132,131,108
1,49610900,387,127,369
1,49611051,250,206,399
1,49611112,31,6,323
1,49611128,285,140,348
1,49611230,108,37,334
1,49611240,159,47,157
1,49611251,604,133,256
1,49611549,73,9,404
1,49611889,41,23,438
1,49612089,45,3,392
1,49612191,82,59,388
1,49612470,112,63,211
1,49612635,82,68,469
1,49612772,30,18,487
1,49612818,93,35,356
1,49613068,175,32,317
1,49613072,118,62,214
1,49613200,37,5,466
1,49613262,1340,1137,376
1,49613312,24,12,483
1,49613507,65,20,161
1,49613642,79,109,456
1,49614101,54,1,370
1,49614280,678,401,178
1,49614575,44,8,354
1,49614720,383,449,304
1,49615139,45,50,431
1,49615245,97,137,240
1,49615537,658,739,190
1,49615922,76,1,225
1,49616257,277,155,360
1,49616272,72,12,378
1,49616354,247,54,355
1,49616968,491,420,250
1,49617255,449,107,307
1,49617581,200,115,384
1,49618050,146,16,328
1,49618087,149,241,126
1,49618149,6,0,144
1,49618633,30,3,334
1,49619464,121,38,338
1,49619848,285,78,86
1,49620760,19,1,312
1,49621018,136,73,189
1,49621074,56,65,417
1,49621102,102,22,320
1,49621546,754,202,124
1,49621751,227,132,381
1,49622305,110,66,346
1,49622406,307,141,125
1,49622411,70,13,420
1,49622561,149,107,275
1,49623398,139,42,233
1,49623754,1206,451,311
1,49623933,101,25,101
1,49623937,185,126,215
1,49623938,85,34,343
1,49624163,220,231,458
1,49624456,159,48,138
1,49624717,104,7,117
1,49624823,489,104,251
1,49624856,435,260,279
1,49625056,243,92,90
1,49625108,100,208,96
1,49626110,50,5,75
1,49626190,1145,445,143
1,49626373,237,456,255
1,49626429,64,25,364
1,49626718,457,133,64
1,49626745,35,7,379
1,49627306,65,10,468
1,49627370,518,162,218
1,49627634,321,283,266
1,49627646,49,24,391
1,49628290,83,9,368
1,49628367,18,1,241
1,49628429,188,34,217
1,49628454,42,23,437
1,49628493,456,466,221
1,49628576,227,36,196
1,49628614,216,81,222
1,49629064,17,0,455
1,49629209,134,308,182
1,49629291,39,16,427
1,49629624,110,10,63
