hour,id,score,comments,best_rank
0,46452641,376,460,
0,46452696,64,17,
0,46452937,168,132,
0,46453950,438,408,
0,46454085,53,34,
0,46454160,76,20,
0,46454369,67,54,
0,46454577,112,13,
0,46455643,41,10,
0,46456364,50,9,
0,46456787,56,71,
0,46457212,30,3,
0,46457488,113,25,
0,46457784,790,397,
0,46458610,132,52,
0,46458936,337,219,
0,46460319,771,307,
0,46460440,429,85,
0,46460930,92,13,
0,46461862,100,29,
0,46462108,149,53,
0,46462188,23,3,
0,46462702,380,55,
0,46462719,140,79,
0,46462997,47,26,
0,46463315,591,356,
0,46463407,142,91,
0,46463635,153,60,
0,46464120,237,55,
0,46464235,574,162,
0,46464270,84,21,
0,46464426,438,110,
0,46464462,236,63,
0,46465206,33,0,
0,46465327,587,1191,
0,46465335,471,284,
0,46465493,51,76,
0,46466027,577,269,
0,46466073,170,406,
0,46466364,172,154,
0,46466438,72,13,
0,46466734,218,49,
0,46466843,463,138,
0,46467651,185,73,
0,46467677,220,279,
0,46467946,19,2,
0,46468237,134,59,
0,46468283,176,80,
0,46468338,240,31,
0,46468517,252,33,
0,46468600,1073,246,
0,46469473,110,24,
0,46469577,783,130,
0,46469623,189,106,
0,46469877,433,119,
0,46470017,564,402,
0,46470293,35,14,
0,46470513,121,27,
0,46470659,87,32,
0,46470870,10,1,
0,46470927,72,14,
0,46470963,28,8,
0,46471001,49,3,
0,46471171,262,144,
0,46471199,834,637,
0,46471506,22,1,
0,46471648,160,106,
0,46471712,104,24,
0,46472040,182,56,
0,46472258,59,5,
0,46472667,182,49,
0,46472930,102,73,
0,46473247,168,52,
0,46473348,1770,4681,
0,46473400,77,29,
0,46473726,109,51,
0,46475296,92,13,
0,46475395,160,23,
0,46476587,8,1,26
0,46477306,70,71,
0,46477842,19,8,
0,46477961,95,49,
0,46478061,102,38,
0,46478377,688,133,
0,46478558,144,53,30
0,46478647,370,258,
0,46478815,15,1,
0,46479673,114,65,
0,46480016,24,0,
0,46481124,4,0,20
0,46481849,84,15,
0,46482107,150,32,
0,46482345,1538,995,
0,46482685,38,14,
0,46482844,64,12,
0,46482877,465,277,
0,46483023,292,232,
0,46483432,179,150,
0,46483531,171,55,
0,46483550,28,27,
0,46483776,100,19,
0,46484104,94,36,
0,46484662,131,52,
0,46484808,47,23,22
0,46484933,75,28,
0,46485090,789,74,
0,46485130,50,7,
0,46485989,323,320,
0,46486135,214,81,
0,46486326,88,115,
0,46486545,172,61,
0,46486646,127,332,
0,46486780,204,203,
0,46486978,201,91,
0,46487120,171,12,
0,46487472,195,24,
0,46487498,248,243,
0,46487921,198,157,
0,46488101,110,62,
0,46488261,82,19,
0,46488278,430,87,
0,46488355,798,434,
0,46488576,486,620,
0,46488654,299,38,
0,46488696,108,53,
0,46488711,396,178,
0,46488819,1665,689,
0,46488883,91,6,
0,46489232,209,56,
0,46489273,10,4,
0,46489514,325,178,5
0,46489657,23,7,
0,46490323,155,41,
0,46490895,57,27,
0,46491129,260,85,
0,46491219,108,38,
0,46491244,171,46,
0,46491264,59,8,
0,46491330,75,42,
0,46491486,540,334,
