hour,id,score,comments,best_rank
0,45964816,89,14,
0,45964835,85,23,
0,45964956,156,19,
0,45965060,481,372,
0,45965664,199,89,
0,45966018,113,136,
0,45966251,863,880,
0,45966435,209,115,
0,45966561,33,18,
0,45967079,245,111,
0,45967211,1732,1054,
0,45967814,1082,1079,
0,45968059,68,300,
0,45968121,215,48,
0,45968235,182,81,
0,45968310,214,209,
0,45968362,222,95,
0,45968611,75,35,
0,45968827,491,230,
0,45969250,467,248,
0,45969398,134,84,
0,45969708,105,30,
0,45969909,615,461,
0,45969974,124,62,
0,45970317,68,13,
0,45970338,130,41,
0,45970391,218,28,
0,45970519,181,58,
0,45970885,116,106,
0,45971548,10,3,
0,45971726,383,321,
0,45972519,1050,361,
0,45973261,198,58,
0,45973364,47,13,
0,45973573,244,42,
0,45973709,1464,912,
0,45973955,52,32,
0,45974012,590,169,
0,45974681,108,31,
0,45974732,44,27,8
0,45974869,317,313,
0,45974977,66,29,
0,45975006,103,104,
0,45976666,46,12,
0,45976693,274,61,
0,45976832,137,97,
0,45976999,19,2,
0,45977386,194,33,
0,45977542,136,12,
0,45977744,339,264,
0,45977900,197,434,
0,45978245,97,42,
0,45978423,462,141,
0,45978545,98,43,
0,45978813,138,124,
0,45979220,32,44,
0,45979232,196,155,
0,45979297,466,250,
0,45979357,17,13,
0,45980106,359,261,
0,45980117,974,1159,
0,45980474,135,64,9
0,45980608,77,66,30
0,45980714,44,11,
0,45980760,148,134,
0,45981250,66,40,
0,45981441,88,8,
0,45981535,46,1,
0,45981568,7,0,12
0,45981666,59,57,
0,45981760,76,67,
0,45982073,680,133,
0,45982162,192,76,
0,45982280,48,12,
0,45982526,57,30,
0,45982649,482,318,
0,45982774,64,5,
0,45983700,545,444,
0,45983809,29,2,
0,45984072,59,33,
0,45984112,121,218,
0,45984133,170,171,
0,45984143,457,252,
0,45984173,177,50,
0,45984282,43,4,
0,45984333,36,13,
0,45984353,316,201,
0,45984461,301,51,
0,45984623,78,14,
0,45984659,428,221,
0,45984970,233,376,
0,45985008,196,76,
0,45985036,309,137,
0,45985196,202,59,
0,45985306,161,86,
0,45985404,29,3,
0,45985506,557,405,
0,45985799,61,91,
0,45985867,255,114,
0,45985890,614,90,
0,45985942,18,0,
0,45985978,102,59,
0,45986940,109,28,
0,45987027,93,86,
0,45987179,209,242,
0,45987220,55,52,
0,45987252,101,40,
0,45987289,57,73,
0,45987811,16,6,
0,45988278,73,13,
0,45989186,87,16,
0,45989284,124,50,21
0,45989329,220,137,
0,45989469,243,189,
0,45989650,60,39,
0,45990575,92,24,
0,45990934,360,142,
0,45991497,79,55,
0,45991738,377,183,
0,45991787,375,147,
0,45991853,495,148,
0,45992035,224,176,
0,45992316,174,53,
0,45992403,112,96,
0,45992829,367,155,
0,45992859,14,0,
0,45993118,20,3,
0,45993214,94,30,
0,45993296,1270,683,
0,45993943,204,225,
0,45994124,15,5,18
0,45994537,14,1,
0,45994592,28,2,
0,45994711,25,0,
0,45994854,877,551,
0,45994895,174,57,
0,45995394,65,68,
0,45995605,18,0,
0,45995740,638,239,
0,45995816,207,79,
0,45995834,214,226,
0,45995913,31,13,
0,45996064,26,9,27
0,45996433,124,71,
0,45996527,53,11,
0,45996585,222,26,
0,45996860,833,876,
0,45996921,50,15,
0,45997099,84,158,
0,45997212,315,162,
0,45997294,179,114,
0,45997514,16,2,
0,45997722,146,47,
0,45997914,179,147,
0,45998013,19,3,
0,45998047,88,33,
0,45998396,66,73,
0,45999038,335,684,
0,45999386,14,0,
0,45999622,302,514,
0,45999631,65,16,
0,45999842,293,819,
0,45999872,155,246,
0,46000200,21,24,
0,46000303,46,11,
0,46000613,19,4,
0,46001889,388,125,
0,46002138,62,29,
0,46002161,235,88,
0,46002989,261,157,
0,46003144,230,190,
0,46003778,477,527,
0,46004293,239,36,
0,46004326,170,44,
0,46004364,105,86,
0,46004386,74,21,
0,46004519,13,0,
0,46004541,54,3,
0,46005111,485,271,
0,46005349,199,92,
0,46005388,174,169,
0,46005549,77,16,
0,46005553,348,107,
0,46005928,148,291,
