hour,id,score,comments,best_rank
0,47128535,150,47,
0,47128628,23,9,
0,47128631,85,17,
0,47128645,299,202,
0,47128799,116,82,
0,47128827,56,7,
0,47128907,113,105,
0,47129241,11,2,
0,47129361,434,360,
0,47129589,132,111,
0,47129647,236,185,
0,47129683,42,0,
0,47129727,308,176,
0,47129801,97,14,
0,47130078,50,30,
0,47130431,47,27,
0,47130860,296,65,
0,47130997,55,5,
0,47131173,216,110,
0,47131225,324,90,
0,47131506,178,44,
0,47131689,49,15,
0,47131980,106,37,25
0,47132102,273,93,
0,47132388,448,166,
0,47132614,35,17,
0,47132721,62,48,
0,47132842,15,4,
0,47132930,11,1,
0,47133027,12,2,
0,47133055,201,131,
0,47133313,462,392,
0,47133585,104,22,28
0,47133716,51,2,
0,47133726,22,8,
0,47134319,36,20,
0,47134452,56,31,
0,47134779,40,14,
0,47134946,82,132,
0,47135009,42,25,19
0,47135159,101,18,
0,47135360,31,3,
0,47135425,46,22,
0,47135542,56,71,
0,47135960,3,2,
0,47136036,446,325,
0,47136151,4,0,
0,47136179,2070,991,
0,47136272,6,0,
0,47136477,61,63,
0,47136537,218,222,
0,47136604,558,197,
0,47136611,371,159,
0,47136658,150,114,
0,47137013,67,40,
0,47137140,115,37,
0,47137199,76,33,20
0,47137493,7,0,
0,47137579,13,1,
0,47137711,238,243,
0,47137731,16,7,
0,47137921,46,5,
0,47137936,4,0,
0,47138213,51,9,
0,47138429,10,0,
0,47138698,119,30,
0,47138860,65,14,
0,47139224,220,109,
0,47139396,18,3,
0,47139515,30,5,
0,47139519,107,113,
0,47139566,52,4,
0,47139675,1104,374,
0,47139690,126,45,
0,47139716,347,238,
0,47139765,458,377,
0,47139872,24,3,
0,47139902,198,58,
0,47139911,190,23,
0,47139948,6,0,
0,47139951,144,200,
0,47140042,429,215,
0,47140322,204,71,
0,47140332,35,7,
0,47140612,57,53,
0,47140623,225,191,
0,47140632,652,198,
0,47140652,5,0,
0,47140657,288,107,
0,47140771,4,0,
0,47140773,55,28,
0,47141069,67,7,
0,47141107,127,15,
0,47141119,138,162,
0,47141385,66,38,
0,47141797,329,89,
0,47142044,30,0,
0,47142073,9,0,
0,47142078,87,60,
0,47142156,525,233,
0,47142225,110,21,
0,47142236,31,1,
0,47142245,17,0,
0,47142458,48,13,
0,47142521,4,0,
0,47142587,145,98,
0,47142713,59,4,
0,47142975,11,4,
0,47143152,632,677,
0,47143717,26,5,
0,47143754,595,303,
0,47143755,312,75,
0,47143931,47,11,
0,47143976,23,13,
0,47144048,12,4,
0,47144064,127,84,
0,47144325,174,189,
0,47144464,347,127,
0,47144465,10,0,
0,47144537,24,9,
0,47145024,43,3,
0,47145082,79,34,
0,47145438,40,17,
0,47145551,202,99,
0,47145777,24,3,
0,47145851,40,2,
0,47145907,686,281,
0,47145963,718,676,
0,47146063,7,1,
0,47146206,3,0,
0,47146212,9,0,
0,47146247,10,1,
0,47146487,260,182,26
0,47146676,10,6,
0,47147113,11,6,
0,47147122,81,97,
0,47147185,97,40,
0,47147513,44,20,
0,47147597,7,0,
0,47147609,135,26,
0,47147635,22,4,
0,47147855,19,2,
0,47148025,77,22,
0,47148454,540,318,
0,47148694,35,7,
0,47148740,79,10,
0,47148815,21,13,
0,47148864,14,0,
0,47149151,265,145,
0,47149167,20,0,
0,47149255,18,4,
0,47149423,33,13,
0,47149582,77,39,
0,47149586,218,81,
0,47149701,833,429,
0,47149752,181,100,
0,47149829,121,58,23
0,47150421,19,6,
0,47150459,13,1,
0,47150674,106,51,
0,47151000,266,262,
0,47151163,127,78,
0,47151233,778,489,
0,47151598,55,62,
0,47151624,48,22,
0,47151784,128,96,
0,47151842,219,229,
0,47151915,14,1,
0,47151961,22,5,
0,47151995,133,54,
0,47152085,711,599,
0,47152252,541,482,
0,47152442,11,0,
0,47152448,6,0,
0,47152724,9,4,
0,47152835,19,1,
0,47152949,31,1,
0,47152967,5,0,
0,47152982,185,61,
0,47153207,23,11,
0,47153637,66,1,
0,47153675,88,72,
0,47153678,27,4,
0,47153798,421,633,
0,47153924,162,147,
0,47153941,36,21,
0,47154009,489,458,
0,47154042,153,15,
0,47154076,140,304,
0,47154399,351,527,
0,47154803,112,104,
0,47154962,3,0,
0,47154971,296,111,
0,47154983,187,125,
0,47155070,5,0,
0,47155235,9,2,
0,47155266,5,1,
0,47155325,14,1,
0,47155342,17,1,
0,47155359,27,10,
0,47155375,3,0,
0,47155474,5,0,
0,47155597,221,106,
0,47155811,53,40,
0,47156092,9,0,
0,47156642,6,0,
0,47156925,1265,303,
0,47157132,25,8,
0,47157160,38,8,
0,47157224,669,244,
0,47157285,71,12,
0,47157398,318,118,
0,47157516,16,3,
0,47157521,31,1,
0,47157665,15,5,
0,47157841,142,76,
0,47157919,24,5,
0,47157936,4,0,
0,47157999,6,1,
0,47158032,8,0,
0,47158105,72,12,
0,47158231,9,0,
0,47158267,7,0,
0,47158444,23,3,
0,47158480,31,18,
0,47158515,12,7,
0,47158749,15,2,
0,47158939,38,4,
0,47158975,474,656,
0,47159125,12,6,
0,47159177,9,3,
0,47159302,306,86,
0,47159364,66,75,
0,47159394,7,3,
0,47159403,25,12,
0,47159430,619,712,
0,47159501,9,1,
0,47159575,8,1,
0,47159833,76,8,
0,47160065,3,0,
0,47160155,7,1,
0,47160220,15,8,
0,47160226,499,157,
0,47160246,11,3,
0,47160526,58,8,
0,47160613,170,69,
0,47160637,37,8,
0,47160641,20,9,
0,47160972,5,0,
0,47160980,34,18,
0,47161026,33,8,
0,47161124,9,1,
0,47161160,388,338,
0,47161277,3,0,
0,47161373,16,1,
0,47161498,36,60,
0,47161744,40,1,
0,47161759,4,0,
0,47161889,56,39,
0,47162002,30,18,
0,47162005,9,1,
0,47162020,49,10,
0,47162587,9,1,
0,47163040,25,4,
0,47163167,3,1,
0,47163192,18,6,
0,47163779,3,1,
0,47163885,667,254,
0,47163985,92,96,
0,47164270,315,80,
0,47164605,201,299,
0,47164608,3,0,
0,47164833,14,1,
0,47165046,63,47,
0,47165060,64,110,
0,47165090,9,1,
0,47165299,77,91,
0,47165385,9,1,
0,47165602,43,12,
0,47165648,122,68,
0,47165792,186,371,
0,47165813,30,4,14
0,47165965,11,11,
0,47165967,15,4,
0,47166111,12,2,
0,47166251,15,10,
0,47166264,215,70,
0,47166397,43,51,
0,47166473,132,51,
0,47166709,3,1,
0,47166826,4,0,
0,47167135,4,0,
0,47167733,65,79,
0,47167763,405,176,
0,47167801,11,0,
0,47167858,594,570,
0,47167898,19,18,
0,47167927,16,1,
0,47167931,395,418,
0,47167944,41,12,
0,47168012,248,156,
0,47168047,19,0,
0,47168061,21,1,
0,47168070,21,2,
0,47168165,65,33,
0,47168386,16,1,
0,47168405,5,0,
0,47168715,7,1,
0,47168726,199,101,
0,47168920,79,21,
0,47168945,24,6,
0,47168977,8,9,
0,47169146,78,74,
0,47169278,142,104,
0,47169366,31,10,
0,47169518,116,64,
0,47169570,4,0,
0,47169627,20,3,
0,47169717,39,3,
0,47169733,5,2,
0,47169742,8,7,
0,47169748,169,132,
0,47169757,582,222,
0,47169815,115,60,
0,47169858,8,5,
0,47169876,25,5,
0,47169984,168,73,
0,47170030,20,1,5
0,47170157,224,89,
0,47170174,127,76,
0,47170206,9,1,
0,47170275,8,2,
0,47170299,45,12,
0,47170382,3,0,
0,47170671,3,0,
0,47170847,3,0,
0,47170973,20,4,
0,47171101,24,2,
0,47171233,409,242,
0,47171396,3,0,
0,47171479,11,3,
0,47171636,6,3,
0,47171771,141,87,
0,47171773,39,8,
0,47171954,5,0,
0,47171961,13,3,
0,47172119,881,1026,
0,47172238,62,37,
0,47172591,23,2,
0,47172664,258,301,
0,47172730,62,1,
0,47172866,10,0,
0,47173012,33,3,
0,47173034,4,0,
0,47173121,2840,1526,
0,47173543,31,4,
0,47173583,153,129,
0,47173710,19,1,
0,47173773,5,6,
0,47174189,4,0,
0,47174305,11,0,
0,47174506,7,2,
0,47174635,13,1,
0,47174777,145,58,
0,47174799,11,0,
0,47174891,67,38,
0,47175020,28,4,
0,47175281,40,66,
0,47175315,4,0,
0,47175374,13,13,
0,47175376,6,2,
0,47175478,9,1,
0,47175612,27,8,
0,47175746,8,8,
0,47175751,16,1,
0,47175770,14,1,
0,47175898,7,1,
0,47175931,279,132,
0,47175942,4,0,
0,47176150,53,22,
0,47176157,177,143,
0,47176191,5,0,
0,47176210,10,0,
0,47176239,105,29,
0,47176253,12,0,
0,47176257,518,177,
0,47176287,11,4,
0,47176565,5,4,
0,47176581,110,80,
0,47176674,9,1,
0,47176841,5,1,
0,47176879,14,1,
0,47176936,11,3,
0,47177186,257,144,
0,47177260,17,5,
0,47177626,4,0,
0,47177877,67,8,
0,47178000,5,0,
0,47178344,71,6,
0,47178371,423,193,15
0,47178661,5,0,
0,47178678,178,38,
0,47178687,7,0,
0,47178836,88,83,
0,47178863,158,120,
0,47179038,120,167,29
0,47179082,10,6,
0,47179355,8,7,
0,47179356,56,55,
0,47179395,6,1,
0,47179553,80,103,
0,47179562,3,2,
0,47179756,17,1,
0,47180040,41,51,
0,47180083,173,52,
0,47180302,15,1,
0,47180569,364,119,6
0,47180685,50,1,
0,47181178,14,4,
0,47181208,323,324,3
0,47181211,355,445,1
0,47181222,7,7,
0,47181316,46,9,27
0,47181375,12,2,
0,47181380,239,206,
0,47181391,486,85,24
0,47181435,10,0,
0,47181471,78,40,
0,47181587,8,0,
0,47181656,9,0,
0,47181753,129,58,13
0,47181801,162,89,21
0,47181841,188,139,
0,47181892,10,12,
0,47181944,114,82,12
0,47182247,29,4,
0,47182387,36,13,10
0,47182410,12,2,
0,47182483,202,200,4
0,47182487,115,47,16
0,47182501,5,0,
0,47182587,7,1,
0,47182635,6,1,
0,47182659,125,32,
0,47182680,9,1,
0,47182907,15,4,
0,47183176,4,0,
0,47183191,27,1,
0,47183454,7,1,
0,47183503,73,51,
0,47183527,20,6,
0,47183578,421,185,
0,47183660,90,70,
0,47183719,72,13,
0,47183725,68,5,12
0,47183921,33,4,
0,47184049,90,24,10
0,47184288,376,210,22
0,47184480,215,66,16
0,47184515,3,0,
0,47184610,15,6,
0,47184642,6,1,
0,47184685,6,0,
0,47184730,3,0,
0,47184744,68,45,
0,47184915,27,15,
0,47184963,9,7,
0,47184967,10,2,
0,47185010,12,0,
0,47185086,14,1,
0,47185276,17,0,
0,47185434,10,0,
0,47185482,19,0,
0,47185528,78,22,
0,47185567,13,4,
0,47185682,19,5,
0,47185735,8,0,
0,47185771,6,0,
0,47185800,8,4,
0,47185829,14,9,
0,47185840,9,1,
0,47185854,10,2,
0,47185892,36,5,
0,47186004,4,0,
0,47186031,29,11,
0,47186127,140,69,
0,47186214,12,4,
0,47186277,44,49,21
0,47186337,40,7,
0,47186444,16,2,9
0,47186511,18,0,
0,47186662,31,3,
0,47186677,818,663,1
0,47186859,3,0,
0,47186947,6,0,
0,47187078,4,0,
0,47187121,27,3,4
0,47187125,3,0,
0,47187235,5,0,29
0,47187450,11,9,7
0,47187488,23,1,
0,47187649,25,2,2
1,47128535,150,47,
1,47128628,23,9,
1,47128631,85,17,
1,47128645,299,203,
1,47128827,56,7,
1,47128907,113,105,
1,47129241,11,2,
1,47129361,434,360,
1,47129589,133,111,
1,47129647,236,185,
1,47129683,42,0,
1,47129727,308,176,
1,47129801,97,14,
1,47130078,50,30,
1,47130431,47,27,
1,47130860,297,65,
1,47130997,55,5,
1,47131173,216,110,
1,47131225,324,90,
1,47131506,178,44,
1,47131689,49,15,
1,47131980,110,37,28
1,47132102,273,93,
1,47132388,448,166,
1,47132614,35,17,
1,47132721,62,48,
1,47132842,15,4,
1,47132930,11,1,
1,47133027,12,2,
1,47133055,201,131,
1,47133313,462,392,
1,47133585,112,22,
1,47133716,51,2,
1,47133726,22,8,
1,47134319,36,20,
1,47134452,56,31,
1,47134779,40,14,
1,47134946,82,132,
1,47135009,49,29,23
1,47135159,103,18,
1,47135360,31,3,
1,47135425,46,22,
1,47135542,56,71,
1,47135960,3,2,
1,47136036,446,325,
1,47136151,4,0,
1,47136179,2071,991,
1,47136272,6,0,
1,47136477,61,63,
1,47136537,218,222,
1,47136604,558,197,
1,47136611,371,159,
1,47136658,150,114,
1,47137013,67,40,
1,47137140,115,37,
1,47137199,79,34,27
1,47137493,7,0,
1,47137579,13,1,
1,47137711,238,243,
1,47137731,16,7,
1,47137921,46,5,
1,47137936,4,0,
1,47138213,51,9,
1,47138429,23,0,17
1,47138698,119,30,
1,47138860,65,14,
1,47139224,220,109,
1,47139396,18,3,
1,47139515,30,5,
1,47139519,107,113,
1,47139566,52,4,
1,47139675,1104,375,
1,47139690,126,45,
1,47139716,347,238,
1,47139765,459,377,
1,47139872,24,3,
1,47139902,198,58,
1,47139911,190,23,
1,47139948,6,0,
1,47139951,144,200,
1,47140042,429,215,
1,47140322,204,71,
1,47140332,35,7,
1,47140612,57,53,
1,47140623,225,191,
1,47140632,652,198,
1,47140652,5,0,
1,47140657,288,107,
1,47140771,4,0,
1,47140773,55,28,
1,47141069,69,7,
1,47141107,127,15,
1,47141119,138,162,
1,47141385,66,38,
1,47141797,330,89,
1,47142044,30,0,
1,47142073,9,0,
1,47142078,87,60,
1,47142156,525,233,
1,47142225,112,21,
1,47142236,31,1,
1,47142245,17,0,
1,47142458,48,13,
