hour,id,score,comments,best_rank
0,47414112,32,5,
0,47414231,29,18,
0,47414291,106,42,
0,47414292,95,89,
0,47414356,70,79,
0,47414440,161,82,
0,47415044,38,8,
0,47415179,100,9,
0,47415441,248,145,
0,47416049,25,0,
0,47416081,172,45,
0,47416131,290,451,
0,47416149,26,26,
0,47416227,82,32,
0,47416486,481,308,
0,47416543,406,206,
0,47416548,273,337,
0,47416607,73,50,
0,47416736,754,80,
0,47416940,239,264,
0,47416972,343,179,
0,47417269,64,65,
0,47417335,55,14,
0,47417424,20,3,
0,47417482,21,1,
0,47417707,27,6,
0,47417804,471,256,
0,47417814,331,195,
0,47418247,155,56,
0,47418295,730,194,
0,47418722,203,115,
0,47419391,295,54,
0,47419790,23,3,
0,47420230,33,4,
0,47420355,23,4,
0,47420388,167,19,
0,47420432,267,100,
0,47420459,52,8,
0,47420493,54,14,
0,47420619,53,7,
0,47420697,23,8,
0,47420950,138,64,
0,47421442,945,524,
0,47421513,60,49,
0,47421670,38,17,
0,47421749,134,44,
0,47421828,187,170,
0,47422228,138,32,
0,47422437,47,52,
0,47422759,364,89,
0,47422942,587,162,
0,47423624,82,106,
0,47423647,1005,448,
0,47423694,133,44,
0,47423762,232,113,
0,47423976,266,256,
0,47424458,149,213,
0,47424592,141,46,
0,47424752,67,0,
0,47424881,58,3,
0,47425176,142,197,
0,47425186,64,17,
0,47425249,12,2,
0,47425257,81,8,
0,47425365,50,1,
0,47425607,64,97,
0,47425680,165,132,
0,47425874,63,24,6
0,47425918,106,36,
0,47426057,485,222,
0,47426246,137,93,
0,47426857,23,12,18
0,47426932,412,209,
0,47426936,203,87,
0,47427017,267,83,
0,47427027,383,258,
0,47427208,159,114,
0,47427214,175,175,
0,47427224,248,71,26
0,47427299,397,66,
0,47427520,93,103,
0,47427647,110,50,
0,47428117,59,30,
0,47428132,113,58,
0,47428391,147,127,
0,47428541,347,428,
0,47428544,31,13,
0,47428650,276,364,
0,47428734,61,85,
0,47428810,143,89,
0,47428868,87,38,
0,47428953,166,55,
0,47429285,61,35,
0,47429988,86,41,
0,47430604,57,11,
0,47430730,11,2,
0,47430797,507,187,
0,47431237,517,318,
0,47431288,136,91,
0,47431304,48,8,
0,47431625,88,19,
0,47431653,80,45,
0,47431671,262,81,
0,47431883,41,1,
0,47431930,74,48,
0,47431994,23,8,
0,47432779,114,61,
0,47432789,21,3,
0,47432893,44,4,
0,47432915,143,106,
0,47432996,25,27,
0,47433058,811,993,
0,47433088,37,1,
0,47433265,167,32,
0,47433429,136,77,
0,47433755,50,42,
0,47433989,45,6,
0,47434024,301,96,
0,47434047,643,335,
0,47434311,87,57,
0,47434567,262,160,
0,47434732,329,83,
0,47434986,244,50,
0,47435028,175,127,
0,47435081,161,57,
0,47435127,10,3,17
0,47435156,200,188,
0,47435418,15,0,
0,47435453,126,53,
0,47435616,23,5,15
0,47435783,126,38,28
0,47436240,110,121,
0,47436287,41,5,
0,47436950,1246,721,
0,47437005,4,0,
0,47437062,5,0,
0,47437101,199,157,
0,47437516,325,447,
0,47437613,17,0,
0,47437627,32,9,
0,47437655,600,330,
0,47437695,4,0,
0,47438097,6,0,
0,47438169,43,8,
0,47438342,102,36,
0,47438423,8,2,
0,47438482,74,40,
0,47438675,262,155,
0,47438723,1477,892,
0,47438804,5,0,
