hour,id,score,comments,best_rank
0,47492542,17,4,
0,47492599,447,385,
0,47492649,46,24,
0,47492715,43,5,
0,47492871,42,4,
0,47492894,71,58,
0,47493194,77,45,
0,47493246,180,128,29
0,47493377,21,0,
0,47493460,427,94,
0,47493567,46,9,
0,47493657,214,127,
0,47493677,171,35,12
0,47493810,17,2,
0,47494098,46,35,
0,47494469,112,103,
0,47494516,10,2,
0,47494696,40,20,
0,47494821,143,47,
0,47494890,277,164,
0,47494909,9,1,
0,47495008,116,45,
0,47495046,17,18,
0,47495082,38,13,
0,47495190,125,18,
0,47495245,104,59,8
0,47495344,489,422,
0,47495527,690,189,
0,47495568,74,14,
0,47495719,117,163,
0,47495795,80,30,
0,47495803,17,17,
0,47496089,109,33,
0,47496221,274,75,
0,47496305,90,21,
0,47497679,89,77,
0,47497757,479,697,
0,47497763,74,22,
0,47497781,59,44,
0,47497910,28,4,
0,47498217,32,0,
0,47498222,75,8,18
0,47498325,50,25,
0,47498329,49,1,
0,47498571,94,24,6
0,47498766,85,34,
0,47498924,330,56,
0,47499027,27,0,
0,47499149,5,0,
0,47499242,48,7,
0,47499245,374,159,
0,47499262,113,40,28
0,47499356,312,100,
0,47499566,44,4,
0,47499641,29,13,
0,47499660,6,0,
0,47499672,157,96,
0,47499695,6,0,
0,47499721,196,132,
0,47499822,106,22,
0,47500239,84,48,
0,47500335,1041,754,
0,47500337,45,7,
0,47500522,169,64,
0,47500549,6,2,
0,47500647,39,2,
0,47500667,70,23,
0,47500709,146,38,
0,47500724,5,0,
0,47500746,213,62,
0,47500823,20,1,
0,47501211,224,145,
0,47501426,932,495,
0,47501431,27,5,
0,47501511,106,11,
0,47501720,6,0,
0,47501763,17,3,
0,47501825,39,21,
0,47501840,112,31,
0,47501875,99,88,
0,47501950,379,419,
0,47502193,72,20,
0,47502241,63,8,
0,47502307,5,0,
0,47502448,49,9,
0,47503006,448,420,
0,47503617,429,108,
0,47503693,16,2,
0,47503810,368,565,
0,47503853,62,37,
0,47503965,396,309,
0,47504060,563,390,
0,47504094,285,102,
0,47504112,727,433,
0,47504246,4,0,
0,47504498,108,62,
0,47504578,6,0,
0,47504615,259,128,
0,47504695,221,88,
0,47504904,18,3,
0,47505144,377,94,
0,47505377,46,1,
0,47505670,229,82,
0,47505731,105,14,
0,47505837,10,0,
0,47506057,34,7,
0,47506148,32,5,
0,47506241,13,4,
0,47506251,419,296,
0,47506279,159,51,
0,47506641,112,37,
0,47506708,25,5,
0,47506713,638,138,
0,47506958,10,6,
0,47507150,1282,497,
0,47507194,9,1,
0,47507253,44,24,
0,47507354,77,35,
0,47507416,22,0,
0,47507420,3,0,
0,47507576,13,0,25
0,47507666,111,88,
0,47507672,38,34,
0,47507856,12,5,
0,47507991,5,4,
0,47508149,80,68,
0,47508246,1129,844,
0,47508307,15,1,
0,47508343,43,14,
0,47508608,386,201,
0,47508719,4,0,
0,47508745,742,524,
0,47508863,133,122,
0,47509130,31,3,
0,47509571,443,184,
0,47509673,28,3,
0,47509970,14,1,
0,47509984,473,526,
0,47510005,4,0,
0,47510216,8,1,
0,47510423,21,0,
0,47510651,23,2,
0,47510768,5,0,
0,47511105,67,39,
0,47511208,131,15,
0,47511435,9,1,
0,47511564,7,0,
0,47511581,6,1,16
0,47511589,558,184,
0,47511646,20,4,
0,47511703,332,413,
0,47511784,27,3,
0,47511834,9,1,
0,47511838,19,8,8
0,47511972,21,2,
0,47512241,23,7,
0,47512365,5,0,
0,47512816,363,223,
0,47512891,90,7,
0,47513008,167,196,
0,47513229,597,905,
0,47513376,9,2,
0,47513475,554,161,
0,47513482,3,1,
0,47513728,39,7,
0,47514603,251,182,
0,47515160,4,0,
0,47515502,174,199,
0,47515605,98,22,
0,47515783,8,0,
0,47516626,3,1,
0,47516650,360,169,
0,47517105,62,10,
0,47517428,14,4,
0,47517539,1087,477,
0,47517606,212,113,
0,47517701,462,457,
0,47517774,4,2,
0,47518010,3,0,
0,47518171,414,199,
0,47518251,6,0,
0,47518264,3,0,
0,47518281,400,337,
0,47518317,5,0,
0,47518382,5,1,
0,47518649,73,8,
0,47518869,16,14,
0,47518960,994,198,
0,47518965,119,49,
0,47519255,4,0,
0,47519295,342,58,
0,47519508,12,0,
0,47519519,628,263,
0,47519622,5,0,
0,47519755,24,11,
0,47519793,24,2,
