hour,id,score,comments,best_rank
0,42341337,76,18,
0,42341343,238,110,
0,42347571,190,368,
0,42354203,117,13,
0,42355160,115,133,
0,42355590,103,13,
0,42356752,193,80,
0,42358214,153,117,
0,42358231,31,0,
0,42358444,112,28,
0,42360074,143,42,
0,42361404,312,81,
0,42364372,167,80,
0,42367290,231,69,
0,42367649,1410,529,
0,42368604,1151,985,
0,42369233,161,36,
0,42372565,262,69,
0,42372617,190,64,
0,42373343,664,785,
0,42376144,51,4,
0,42377018,442,413,
0,42377644,154,106,
0,42377655,160,128,
0,42378407,762,455,
0,42378488,1189,455,
0,42378519,187,53,
0,42378929,348,692,
0,42380996,39,9,
0,42381637,382,653,
0,42382357,374,66,
0,42382829,433,185,
0,42384921,582,934,
0,42385357,180,131,
0,42385393,88,12,
0,42386025,181,116,
0,42386971,199,49,
0,42387013,234,247,
0,42387428,70,51,
0,42388273,317,347,
0,42388341,29,18,
0,42388488,458,156,
0,42388607,97,30,
0,42388724,193,86,
0,42388870,439,142,
0,42388901,178,81,
0,42389532,172,94,
0,42390683,94,49,
0,42390761,132,80,
0,42391079,213,51,
0,42391443,456,872,
0,42392088,220,255,
0,42392668,49,18,
0,42393867,223,68,
0,42396336,269,116,
0,42396521,43,12,
0,42396733,504,823,
0,42397052,98,61,
0,42397478,74,29,
0,42397550,1298,181,
0,42397737,139,29,
0,42397781,255,169,
0,42397812,48,5,
0,42398139,62,8,
0,42398230,97,40,
0,42398471,277,50,
0,42398651,108,98,
0,42398809,227,151,
0,42398913,459,197,
0,42398952,1118,463,
0,42399397,440,207,
0,42399571,71,45,
0,42399701,216,30,
0,42400365,66,11,
0,42400556,353,299,
0,42401011,295,147,
0,42401227,73,31,
0,42401317,18,10,
0,42401896,105,75,
0,42401904,117,45,
0,42401976,97,22,
0,42402086,83,75,
0,42402411,77,22,
0,42402710,107,75,
0,42402927,130,69,
0,42403229,25,24,
0,42403273,196,25,
0,42403328,32,3,
0,42403744,194,101,
0,42404447,131,40,
0,42405046,789,476,
0,42405323,430,143,
0,42405364,98,65,
0,42405462,332,90,
0,42405559,396,200,
0,42405733,199,88,
0,42405956,285,516,
0,42405999,250,171,
0,42406063,125,86,
0,42406070,76,25,
0,42406158,220,24,
0,42406773,96,84,
0,42407250,257,104,
0,42408113,47,25,
0,42408202,601,145,
0,42408271,198,24,
0,42408361,300,233,
0,42408457,85,64,
0,42408546,220,117,
0,42408819,221,69,
0,42408934,146,55,
0,42410151,124,97,
0,42410229,200,28,
0,42410512,16,1,
0,42410582,255,169,
0,42410803,323,79,
0,42410882,28,4,
0,42411409,442,199,
0,42411608,575,634,
0,42411655,47,62,
0,42411687,28,13,
0,42411727,155,43,
0,42411868,70,16,
0,42412360,323,63,
0,42412718,1028,426,
0,42413218,35,6,
0,42413343,233,117,
0,42413464,167,24,
0,42413539,231,634,
0,42413574,170,66,
0,42413656,92,66,
0,42413677,308,238,
0,42413690,158,295,
0,42413765,52,22,
0,42414371,92,28,
0,42414448,53,10,
0,42414817,155,65,
0,42414864,65,15,
0,42415122,375,83,
0,42415298,91,48,
0,42415386,375,158,
0,42415586,16,9,
0,42415637,279,59,
0,42415654,42,12,
0,42415857,173,152,
0,42415875,117,66,
0,42415953,67,19,
0,42416230,188,41,
0,42416258,212,51,
0,42416281,35,35,
0,42416556,142,46,
0,42416681,106,13,
0,42416812,102,28,
0,42417056,57,36,
0,42417330,226,84,
0,42417357,505,86,
0,42417409,9,1,
0,42417478,320,172,
0,42417480,173,298,
0,42417857,340,28,
0,42418063,8,0,
0,42418114,28,2,
0,42418264,161,162,
0,42418309,122,14,
0,42418445,42,1,
0,42418675,135,18,
0,42418839,31,11,
0,42418939,46,16,
0,42418982,216,56,
0,42419036,118,43,
0,42419224,168,114,
0,42419469,430,224,
0,42420091,92,131,
0,42420138,134,169,
0,42420139,41,10,
0,42420294,23,9,
0,42420352,995,676,
0,42421387,29,1,
0,42421392,51,31,
0,42421824,107,69,
0,42422077,253,154,
0,42422113,27,4,
0,42422138,36,7,
0,42422548,41,7,
0,42422703,81,18,
0,42422942,165,17,
0,42423253,284,66,
0,42423282,38,22,
0,42423409,696,191,
0,42423742,72,20,
0,42423743,17,2,
0,42423753,39,11,
0,42423880,18,2,
0,42423988,115,48,
0,42424370,207,62,
0,42424508,266,87,
0,42424572,35,22,
0,42424879,119,29,
0,42424904,231,71,
0,42425000,17,2,
0,42425038,122,80,
0,42425139,159,45,
0,42425268,52,25,
0,42425339,300,137,
0,42425398,368,432,
0,42425489,44,8,
0,42426284,705,102,
0,42426337,91,39,
0,42426412,29,12,
0,42426589,280,93,
0,42426657,68,106,
0,42427132,323,727,
0,42427169,178,62,
0,42427428,85,66,
0,42427812,7,0,
0,42427826,97,48,
0,42427888,820,261,
0,42427916,143,63,
0,42428162,118,111,
0,42428179,165,71,
0,42428256,93,80,26
0,42428332,35,11,
0,42428722,93,12,
0,42428838,60,29,
0,42429045,208,362,
0,42429197,250,135,
0,42429600,47,20,
0,42429601,16,6,
0,42429606,403,203,
0,42429672,115,27,
0,42430024,103,27,
0,42430080,77,35,
0,42430109,33,9,
0,42430184,204,175,
0,42430265,93,26,
0,42430296,36,34,
0,42430317,94,104,
0,42430438,4,0,
0,42430450,663,560,
0,42430678,61,34,
0,42430804,52,7,
0,42430965,11,0,
0,42431046,135,66,
0,42431090,344,390,
0,42431103,483,954,
0,42431144,10,1,
0,42431186,301,105,
0,42431299,14,3,
0,42431361,104,73,
0,42431535,8,4,
0,42432004,178,71,
0,42432151,556,324,
0,42432155,36,46,
0,42432374,95,43,5
0,42432494,106,186,
0,42432631,59,24,
0,42432730,349,146,
0,42432736,13,5,
0,42432867,352,129,
0,42432914,573,315,
0,42432979,97,16,
0,42433044,759,535,
0,42433152,59,73,
0,42433199,152,55,
0,42433205,180,243,
0,42433404,57,18,
0,42433609,100,54,
0,42433734,38,27,
0,42433807,6,0,17
0,42434232,14,5,
0,42434327,33,14,
0,42434331,46,13,23
0,42434395,11,0,
0,42434440,44,8,
0,42434769,128,8,
0,42434947,287,209,
0,42435099,164,7,
0,42435254,12,3,26
0,42435267,29,4,9
0,42435282,34,8,
0,42435531,7,1,
0,42435620,6,0,
0,42435621,71,104,
0,42435688,9,2,21
0,42435972,520,296,
0,42436046,28,4,
0,42436440,197,52,
0,42436556,8,6,
0,42436570,87,81,
0,42436589,43,2,
0,42436630,4,1,
0,42436672,14,0,
0,42436783,4,0,
0,42436936,6,8,
0,42436962,48,54,
0,42437001,19,8,
0,42437070,75,16,
0,42437201,32,5,
0,42437276,15,0,
0,42437400,44,21,
0,42437460,6,0,
0,42437558,6,0,
0,42437630,66,43,
0,42437674,26,4,
0,42437697,76,35,
0,42437816,10,1,
0,42437828,49,5,
0,42437958,3,0,
0,42437974,9,3,
0,42438009,180,119,
0,42438062,22,7,
0,42438175,336,393,
0,42438431,163,60,
0,42438449,145,22,
0,42438767,291,44,
0,42438918,96,14,
0,42438966,26,5,
0,42439143,27,2,
0,42439456,29,18,
0,42439532,4,1,
0,42439897,11,1,
0,42439921,111,136,
0,42439956,6,0,
0,42439967,3,0,
0,42440016,176,30,
0,42440185,66,25,
0,42440293,13,2,
0,42440496,8,1,
0,42440723,6,0,
0,42440767,187,66,
0,42440886,503,251,
0,42440930,3,0,
0,42441258,212,61,
0,42441307,12,6,
0,42441333,691,251,
0,42441600,5,3,
0,42441609,4,1,
0,42441772,3,0,
0,42442095,3,0,
0,42442104,11,1,
0,42442354,175,30,2
0,42442812,193,42,
0,42442852,17,13,
0,42443022,111,37,
0,42443210,15,0,
0,42443229,2804,234,21
0,42443406,162,193,
0,42443737,21,9,29
0,42443841,30,11,
0,42443870,104,27,
0,42443987,107,95,
0,42444083,29,4,
0,42444300,6,9,
0,42444342,5,0,
0,42444535,19,3,
0,42444601,7,3,
0,42444718,20,35,
0,42444817,74,95,
0,42444820,56,7,
0,42444821,23,3,
0,42444830,34,16,
0,42444856,105,7,
0,42445034,12,2,
0,42445037,542,563,
0,42445102,3,1,
0,42445118,4,2,
0,42445239,109,24,
0,42445253,11,3,
0,42445300,16,14,
0,42445328,55,76,
0,42445508,178,45,
0,42445539,19,3,
0,42445636,35,1,
0,42445820,11,20,
0,42445834,167,126,
0,42446087,8,3,
0,42446240,3,0,
0,42446686,8,1,
0,42446800,8,2,
0,42446846,234,56,18
0,42446889,128,64,
0,42446980,10,11,
0,42447012,128,45,
0,42447053,215,49,
0,42447059,90,22,
0,42447071,267,136,
0,42447193,11,26,
0,42447209,5,0,
0,42447248,8,0,
0,42447332,18,3,
0,42447429,35,4,
0,42447579,46,12,
0,42447628,17,0,
0,42447762,153,204,
0,42447848,3,0,
0,42448184,147,18,29
0,42448193,86,26,
0,42448405,18,2,
0,42448541,10,2,
0,42448654,14,5,
0,42448913,154,40,27
