hour,id,score,comments,best_rank
0,43737916,113,38,
0,43738478,167,29,
0,43738561,685,185,
0,43739456,919,172,
0,43743337,602,276,
0,43743784,192,76,
0,43744173,265,339,
0,43744635,64,9,
0,43745281,230,120,
0,43745868,192,119,
0,43745987,158,48,
0,43746109,55,41,
0,43747634,101,120,
0,43748486,505,499,
0,43748512,618,464,
0,43752176,184,114,
0,43754124,650,191,
0,43754953,621,104,
0,43755017,239,171,
0,43755286,175,90,
0,43756871,186,32,
0,43757037,563,190,
0,43757341,195,106,
0,43757916,166,26,
0,43759073,388,224,
0,43760262,124,176,
0,43760625,84,38,
0,43761572,219,130,
0,43761633,185,41,
0,43761998,200,32,
0,43762409,176,94,
0,43763223,115,16,
0,43763225,342,342,
0,43763291,91,42,
0,43763565,175,12,
0,43763814,200,43,
0,43763967,161,51,
0,43764076,271,193,
0,43764101,188,77,
0,43764439,176,44,
0,43764915,179,86,
0,43765011,443,290,
0,43766200,572,150,
0,43766263,97,78,
0,43767058,114,27,
0,43768421,374,330,
0,43769289,58,68,
0,43769461,108,22,
0,43769478,145,176,
0,43769936,360,252,
0,43770337,447,595,
0,43770445,284,227,
0,43770446,142,91,
0,43770615,101,18,
0,43771365,258,85,
0,43771645,336,237,
0,43772503,73,48,
0,43773563,172,72,
0,43773720,97,45,
0,43773746,157,288,
0,43773777,117,14,
0,43773813,861,476,
0,43774169,140,142,
0,43774726,212,65,
0,43774938,89,18,
0,43774990,317,108,
0,43775358,340,461,
0,43775766,199,83,
0,43775926,1397,391,
0,43776385,66,1,
0,43776476,1012,529,
0,43776477,115,15,
0,43776512,255,196,
0,43776967,326,156,
0,43777677,100,21,
0,43777731,210,41,
0,43778081,319,81,
0,43778105,432,139,
0,43778120,66,25,
0,43779398,84,13,
0,43779766,147,231,
0,43780176,145,49,
0,43780363,1062,536,
0,43780377,531,920,
0,43780785,186,38,
0,43780815,425,449,
0,43780876,233,192,
0,43780918,44,18,
0,43781465,85,24,
0,43781888,794,560,
0,43782299,438,630,
0,43782406,377,119,
0,43783416,153,143,
0,43783997,90,149,
0,43784200,93,18,
0,43784205,71,17,
0,43784668,86,38,
0,43785350,94,41,
0,43786506,486,295,
0,43786514,84,8,
0,43786987,68,25,
0,43787353,47,9,
0,43787676,254,120,
0,43788053,290,121,
0,43788255,393,124,
0,43789010,94,31,
0,43789142,151,25,
0,43789593,318,105,
0,43790420,251,219,
0,43790603,54,26,
0,43790683,46,7,
0,43790855,135,96,
