hour,id,score,comments,best_rank
0,46236924,346,224,
0,46237606,25,9,
0,46238100,64,26,
0,46238354,64,55,
0,46239076,187,266,
0,46239177,479,190,
0,46239188,90,14,
0,46239372,113,41,
0,46239629,314,236,
0,46239752,433,188,
0,46239895,70,24,
0,46240103,18,11,
0,46240855,325,484,
0,46240912,51,4,
0,46241368,156,86,
0,46241500,480,115,
0,46241763,271,72,
0,46241767,97,35,
0,46241849,181,133,
0,46242795,70,58,
0,46242838,47,7,
0,46242871,317,197,
0,46243655,634,531,
0,46243883,121,54,
0,46243901,35,7,
0,46243904,376,113,
0,46244362,44,3,
0,46244378,62,4,
0,46244647,14,2,
0,46244922,209,60,
0,46244973,16,2,
0,46245083,29,7,
0,46245211,32,36,
0,46245331,241,221,
0,46245622,182,169,
0,46245731,133,248,
0,46245923,135,48,
0,46246802,240,109,
0,46246845,338,368,
0,46247000,275,161,
0,46248294,143,165,
0,46248323,424,159,
0,46248627,63,17,
0,46248644,537,291,
0,46248859,345,79,
0,46249197,33,3,
0,46249337,91,58,
0,46249538,195,12,
0,46249834,35,10,
0,46250013,20,1,
0,46250052,39,13,
0,46250259,169,151,
0,46250309,142,30,
0,46250332,587,322,
0,46250862,89,39,
0,46251582,224,89,
0,46251620,104,7,
0,46251684,290,65,
0,46251952,87,104,
0,46251960,5,2,
0,46252114,1740,1046,
0,46252993,281,93,
0,46253282,57,4,
0,46253836,57,33,
0,46254794,214,96,
0,46254909,64,52,
0,46255746,44,15,
0,46255766,12,2,
0,46255991,349,209,
0,46256325,91,17,
0,46256504,268,37,
0,46256643,224,12,
0,46256946,56,11,
0,46257147,38,9,
0,46257210,32,19,26
0,46257339,486,320,
0,46257599,134,75,
0,46257607,303,123,
0,46257714,279,250,
0,46258163,301,147,
0,46258529,162,132,
0,46258583,42,1,
0,46258906,244,120,
0,46259064,342,156,
0,46259233,101,345,
0,46259334,98,25,
0,46259671,101,6,
0,46259702,90,42,
0,46260106,139,91,
0,46260128,83,4,
0,46260485,70,12,
0,46260852,98,27,
0,46261260,40,2,
0,46261332,110,6,
0,46261452,132,30,
